trial_id,learning_rate,conv1d_strides,conv1d_filters,hidden_units,input_size,tuner/epochs,tuner/initial_epoch,tuner/bracket,tuner/round,loss,error_to_signal,val_loss,val_error_to_signal,prediction_time
0026,0.00856296003435503,10,12,102,123,8,3,1,1,0.007159304339438677,0.007159337867051363,0.007338328752666712,0.007338292431086302,69.97780000000012
0031,0.0041390595342131326,8,14,94,151,3,0,1,0,0.007345668505877256,0.007345597259700298,0.0068526375107467175,0.006853014230728149,78.63816989999987
0028,0.002269170549520706,4,16,37,52,8,0,0,0,0.012023603543639183,0.012023686431348324,0.011933690868318081,0.011928058229386806,52.04119129999981
0027,0.0005079680302339992,4,23,42,144,8,0,0,0,0.008271136321127415,0.008270900696516037,0.008127018809318542,0.0081255454570055,131.32782240000006
0062,0.0014624836934599252,3,15,58,87,3,0,1,0,0.012003384530544281,0.012002987787127495,0.011678097769618034,0.011680927127599716,147.4766513999998
0030,0.0068114927557705275,7,26,48,83,3,0,1,0,0.010131477378308773,0.010131374932825565,0.009920809417963028,0.009921505115926266,44.36086599999999
0029,0.0003861184507000286,8,24,78,118,8,0,0,0,0.010404238477349281,0.010403899475932121,0.010220727883279324,0.010219991207122803,64.44767589999992
0039,0.00029871190678941467,10,18,39,135,8,0,0,0,0.012725180946290493,0.012725284323096275,0.012356899678707123,0.012362704612314701,41.999457699999766
0033,0.006543006335883939,8,23,96,130,3,0,1,0,0.0071820467710494995,0.007182016968727112,0.007244397886097431,0.0072402688674628735,82.40031680000038
0037,0.0021115502346923864,7,15,104,62,8,0,0,0,0.01051284745335579,0.01051298063248396,0.010582789778709412,0.010582217946648598,58.03067950000013
0070,0.00281871658181403,11,26,58,69,3,0,1,0,0.01265688519924879,0.012656866572797298,0.012221165932714939,0.012219677679240704,29.598277000000053
0056,0.0005393732643469157,4,14,81,61,8,3,1,1,0.014512515626847744,0.014512266963720322,0.013975942507386208,0.013978540897369385,84.69515559999991
0040,0.0019555682562668866,5,19,109,116,3,0,1,0,0.008920055814087391,0.00891980342566967,0.008863043040037155,0.008861918933689594,144.71747430000005
